lexeme_id	Orthography	Lexical entry	Glossing label	Co-verbal form	Adverbial form
a2	айбаджарды	ajbaǯárdɨ	unattractive	ajbaǯar	ajbaǯarana
a3	алчахды	alčáχdɨ	low	alčaχ	alčaχana
a1	ачыхды	ačɨ́χdɨ	open.adj	ačɨχ	ačɨχana
a5	аӀджизды	aˤǯízdɨ	slim	aˤǯiz	aˤǯizana
a110	аӀкьаллы(д)	aˤqʼallɨ́(d)	clever	aˤqʼallɨ	aˤqʼallɨna
a111	аӀкьалсыз(ды)	aˤqʼalsɨ́z(dɨ)	stupid	NO DATA	aˤqʼalsɨzna
a4	аӀкьурды	áˤqʼurdɨ	wide	aˤqʼura	aˤqʼurana
a6	багьад	bahád	expensive	baha	bahana
a7	балад	balád	much.adj	bala	balana
a8	барды	bardɨ	blunt	bara	barana
a9	батӀрад ~ бытӀрад	batʼrad ~ bɨtʼrad	beautiful1	batʼrana	batʼrana
a10	бикӀерды	bikʼérdɨ	hot	bikʼera	bikʼerana
a12	бишды	bíšdɨ	deaf	biši	bišina
a11	быӀркьыд	bɨ́ˤrqʼɨd	blind	bɨˤrqʼa	bɨˤrqʼana
a117	варлы(д)	warlɨ́(d)	rich1	warlɨ	warlɨna
a34	гаӀшды	gaˤšdɨ	hungry	gaˤše	gaˤšena
a35	гедды	géddɨ	thin1	gedda	geddana
a40	гуджлид	guǯlid	strong1	guǯli	guǯlina
a83	гъацӀулды	ʁacʼuldɨ	naked	ʁacʼul	ʁacʼulana
a84	гъаӀнды	ʁaˤndɨ	fertile	ʁaˤna	ʁaˤnana
a87	гъигъды	ʁiʁdɨ	solid	ʁiʁe ~ ʁiʁ	ʁiʁena
a86	гъыӀдилды	ʁɨˤdildɨ	soft	ʁɨˤdile	ʁɨˤdilena
a88	гъыӀрды	ʁɨˤrdɨ	ginger.adj	ʁɨˤra	ʁɨˤrana
a42	гьазырды	hazɨ́rdɨ	ready	hazɨr	hazɨrana
a41	гьарчед	harčéd	right	NO FORM	NO FORM
a99	гьукьлʼады ~ гьукьулʼады	huqʼlʲádɨ ~ huqʼulʲádɨ	former	NO DATA	NO DATA
a43	гьыхды	hɨχdɨ	good	hɨχa	hɨχana
a37	гӀыргӀымды	ɣɨrɣɨ́mdɨ	spicy	ɣɨrɣɨma	ɣɨrɣɨmana
a22	даракьды	daráqʼdɨ	orange.adj	daraqʼa	daraqʼana
a23	делид	delid	crazy1	deli	NO FORM
a24	деринды	derindɨ	deep	derin	derinena
a105	джагварды	ǯágʷardɨ	white	ǯagʷara	ǯagʷarana
a113	джегьил	ǯehíl	young2	ǯehil	ǯehilena
a106	джикʼды	ǯikʲdɨ	short	ǯike	ǯikena
a107	джуьлʼды	ǯülʲdɨ	tiny	ǯüle	ǯülena
a25	динджды	dinǯdɨ	quiet	dinǯ	dinǯena
a27	дирид	dirid	fast	diri	dirina
a28	дуьзды	dǘzdɨ	straight	düz	düzena
a29	дуьземды	düzémdɨ	flat	düzem	düzemna ~ düzemena
a26	дыкьиӀлды	dɨqʼíˤldɨ	bitter	dɨqʼˤile	dɨqʼˤilena
a31	евелды	eweldɨ	ancient1	NO DATA	NO FORM
a30	екед	ekéd	big	eke	ekéna
a44	идды	íddɨ	sweet	idda	íddana
a45	ирды	irdɨ	red	ira	irana
a46	исалды	isáldɨ	tight	isala	isalana
a47	ихьад	íxad	late	ixa	NO FORM
a121	йавад	jawád	idle	jawa	jawana
a48	йавашды	jawášdɨ	slow	jawaš	jawašena
a50	йисды	jisdɨ	old1	jisa	NO FORM
a51	йуӀкьды	juˤqʼdɨ	heavy	juˤqʼa	juˤqʼana
a49	йыӀкьлекды	jɨ́ˤqʼlekdɨ	second	NO DATA	NO FORM
a52	камды	kamdɨ	lacking	kam	kamana
a114	касиб	kasíb	poor	kasib	kasibana
a120	катхуда	katχudá	rich2	NO DATA	NO DATA
a53	катыхды	katɨχdɨ	left	NO FORM	NO FORM
a58	кукды	kukdɨ	well_fed	kuk	kukana
a57	куьгьнед	kühned	ancient2	NO DATA	NO DATA
a32	къайнерды	ɢajnérdɨ	boiled	ɢajner	ɢajnérana
a33	къалинды	ɢalíndɨ	thick2	ɢalina	ɢalinana
a38	къаӀркид	ɢaˤrkid	warm	NO FORM	ɢaˤrkina
a39	къуруд	ɢurúd	dry.adj	ɢurú	ɢurúna
a36	къыӀбды	ɢɨˤbdɨ	grey	ɢɨˤba	ɢɨˤbana
