lexeme_id	Orthography	Lexical entry	Glossing label	Perfective, Gender 3	Imperfective, Gender 3	Infinitive, Gender 3	Imperative, Gender 3	Prohibitive, Gender 3
v3	абгъур	ábʁur	INSIDE-shift	ábʁur	oˤwʁura	owʁus	owʁa	omowubʁ ~ omobʁ
v2	абгыр	ábgɨr	INSIDE-stay	ábgɨr	owɨlgara	abgas	abga	amawlɨg
v9	авалкӀыр	awálkʼɨr	PV-be_lame	awálkʼɨr	awálkʼara	awalkʼas	awalkʼa	amawlɨkʼ
v10	авыр	áwɨr	INSIDE-do	áwɨr	áwara	awas	awa ~ awaʔ ~ owʔa	amawaʔ
v8	агъовгъур	aʁówʁur	PV-cut_through	aʁówʁur	aʁábʁura	aʁówʁus	aʁówʁʷa	aʁmábʁ
v6	апхъуӀр	ápquˤr	PV-dig	ápquˤr	awráqʷaˤra	ápqʷaˤs	aˤpqʷa	amáˤwruqʷ
v1	апцур	ápcur	measure	ápcur	awrácura	apcus	apca	amawruc
v5	ачӀипхъыр	áčʼipqɨr	PV-stuck	áčʼipqɨr	ačʼwílqara	ačʼipqas	ačʼipqa	ačʼmewliq
v4	ачӀипхьыр	áčʼipxɨr	PV-squeeze_in	áčʼipxɨr	ačʼwílxara	ačʼipxas	ačʼipxa	ačʼmelwix
v11	биъир	biʔir	pull	biʔir	beʔera	beʔes	beʔe	mebiʔ
v12	вака (ӀMP)	wáka (ӀMP)	bring.IMP	NO FORM	NO FORM	NO FORM	wáka	NO FORM
v110	вакьалкьыр	waqʼálqʼɨr	tremble	waqʼálqʼɨr	waqʼálqʼara	waqʼálqʼas	waqʼálqʼa	máwɨlqʼ
v181	валгыр	wálgɨr	talk	wálgɨr	wálgara	wálgas	wálga	mówɨlg ~ mówlɨg
v183	вараӀгъыӀр	waráˤʁɨˤr	drink	waráˤʁɨˤr	waráˤʁaˤra	waráˤʁaˤs	waráˤʁ	móˤwraˤʁ
v186	вахыр	wáχɨr	run	wáχɨr	wáχara	wáχas	wáχa	mówaχ ~ máwaχ
v187	вахыр	wáχɨr	break	wáχɨr	wáχara	wáχas	wáχa	máwaχ ~ mówaχ
v180	вацӀыр	wácʼɨr	know	wácʼɨr	wácʼara	wácʼɨs	wácʼa	máwɨcʼ ~ mówɨcʼ
v184	ваӀгъыр	wáˤʁɨr	ask_for	wáˤʁɨr	wáˤʁara	wáˤʁas	wáˤʁa	mówaˤʁ
v185	ваӀхваркыр	wáˤχwarkɨr	crawl	wáˤχwarkɨr	wáˤχwarkara	wáˤχwarkas	wáˤχwarka	máˤχmaˤwrɨk
v189	веггир	weggir	copulate	weggir	weggera	wegges	wegge	meweg
v188	веддыр	wéddɨr	be_ill	wéddɨr	wéddara	wéddas	wédda	méwed
v193	везыр	wézɨr	milk	wézɨr	wézara	wézas	wéza	méwez
v190	верехир	weréχir	deceive1	weréχir	weréχera	weréχes	weréχe	méwreχ
v192	ветыр	wétɨr	kick	wétɨr	wétara	wétas	wéta	méwet
v191	вешир	wéšir	cry	wéšir	wéšera	wéšes	wéše	méweš
v194	виджир	wiӡ̌ír	roast	wiӡ̌ír	wiǯírǯera ~ wiӡ̌éra	wiǯés	wiǯé ~ wiǯirǯé	méwiǯ
v197	вийир	wíjir	shoot	wíjir	wɨ́χara	wíjis	wíja	máwɨχ
v198	викьир	wiqʼír	die	wiqʼír	wíqʼera	wíqʼes	wiqʼe ~ wiqʼ	méwiqʼ
v201	вирзыр	wírzɨr	praise	wírzɨr	wírzara	wírzas	wírza	méwirz
v199	виричӀир	wiríčʼir	crush	wiríčʼir	wiríčʼera	wiríčʼes	wiríčʼe	méwričʼ
v200	вирхьыр	wírxɨr	walk	wírxɨr	wírxara	wírxas	wírxa	méwɨrx ~ méwrixʲ
v202	вишир	wišír	become	wišír	wurúʔura	wurúʔus ~ wɨ́kɨs	wiš	máˤwuˤʁ ~ méwiš
v203	висыр	wisɨ́r	roast_grain	wisɨ́r	wisára ~ wɨsɨ́rsara	wisás	wisá	méwis
v205	вихир	wiχír	carry	wiχír	wíχera	wíχes	wíχeʔ	méwiχ
v196	вицӀыр	wicʼɨ́r	melt	wicʼɨ́r	wicʼára	wicʼás	wicʼá	méwicʼ
v195	вичӀир	wičʼír	manage	wičʼír	wičʼéra	wičʼés	wíčʼe	míjičʼ
v204	виъи (ӀPFV)	wiʔí (ӀPFV)	go	NO DATA [hápχɨˤr]	wiʔí	wurúʔus	NO DATA [wɨrɨ́χ(a)]	máˤwuʁˤ ~ móˤwuˤʁ
v213	вулхъур	wúlqur	play	wúlqur	wúlqara	wúlqas	wúlqa	máwulq ~ mówluq
v215	вуруӀхуӀр	wurúˤχuˤr	mill.v	wurúˤχuˤr	wurúˤχara	wurúˤχas	wurúˤχa	máˤwrúˤχ
v218	вухур	wuχúr	bore	wuχúr	wúχara	wúχas	wúχa	máwuχ
v216	вухьур	wúxur	cook	wúxur	wúrxʷara	wúxʷas	wúxa ~ wúxʷa	mówrux ~ máwrux
v217	вухьур	wuxúr	say	wuxúr	wuruxara	huxús (4)	jíxʲa (4)	márux (4)
v212	вуцӀур	wucʼúr	tear_off	wucʼúr	wucʼára	wucʼás	wucʼá	mówɨcʼ
v207	выгара (ӀPFV)	wɨ́gara (ӀPFV)	want	NO DATA	wɨ́gara	wɨ́gas	wɨ́ga	máwɨg
