	Part of Speech	main_word	main_word_id	main_word_GLOSS	2nd_word	2nd_word_id	2nd_word_GLOSS	3rd_word	3rd_word_id	3rd_word_GLOSS	ready?	who_collected	comment	lexeme_id	Gender	Attributive	Orthography	Lexical entry	No stress	Glossing label	comment_to_appear	meaning_1	meaning_1_rus	diathesis_1	example_1	example_1_cyr	example_1_rus	meaning_2	meaning_2_rus	diathesis_2	example_2	example_2_cyr	example_2_rus	meaning_3	meaning_3_rus	diathesis_3	example_3	example_3_cyr	example_3_rus	meaning_4	meaning_4_rus	diathesis_4	example_4	example_4_cyr	example_4_rus	who_compiled	elicited_day	elicited_month	elicited_year	updated_day	updated_month	updated_year	filename	speaker_name	gender	year_of_birth	lexcauc_id	swadesh_id	j/h	PFV.3	IPFV.3	INF.3	IMP.3	PROH.3	HPL/APL	Co-verbal form	Adverbial form	Lexical Entry
0	complex verb	gébgɨr	v20	UNDER-stay	aː		below				1.0	TM		cv1			аа гебгыр		aː gebgɨr	below UNDER-stay		lose	проиграть	abs	tɨlejmar ara lečʼune, ixdɨ tɨla ʁami wišir, ɢunšijed tɨla aː gebgɨr	тылеймар ара лечӀуне, ихьды тыла гъами вишир, къуншийед тыла аа гебгыр	Собаки схватились, наша победила, соседская проиграла																			TM	16.0	8	2023.0					Nazile														aː gebgɨr
1	complex verb	kiwxir	v73	SURF-put	aː		below				1.0	TM		cv2			аа кивхьир		aː kiwxir	below SURF-put		bury (the dead)	хоронить	erg, abs	jiqʼid edemi zad aː kixir	йикьид едеми зад аа кихьир	Я умершего похоронил																			TM	10.0	8	2023.0					Aga														aː kiwxir
2	complex verb	lúwkur	v105	PV-lie_down	aː		below				1.0	TM	лукура = упала	cv3			аа лувкур		aː luwkur	below PV-lie_down		lie down	ложиться	abs	zer rɨɢa aː luwkura	зер рыкъа аа лувкура	Корова на дорогу легла																			TM	13.0	8	2023.0					Nazile														aː luwkur
3	complex verb	súwqʼur	v173	PV-sit_down	aː		below				1.0	TM		cv4			аа сувкьур		aː suwqʼur	below PV-sit_down		sit down	садиться	abs	zɨ wakan aː suqʼur	зы вакан аа сукьур	Мы с тобой посидели																			TM	10.0	8	2023.0					Aga														aː suwqʼur
4	complex verb	wɨ́ʔɨr ~ howʔɨr ~ háwʔɨr	v211	do	áːferin ~ áʁferin		áːferin ~ áʁferin				1.0	KF		cv216			ааферин выъыр ~ агъферин выъыр		aːferin wɨʔɨr ~ aʁferin wɨʔɨr	áːferin ~ áʁferin do		thank	благодарить	dat	вас агъферин выъыр	вас агъферин выъыр	Сказал тебе спасибо																				6.0	8	2023.0					Назиле	f													áːferin wɨʔɨr ~ áʁferin wɨʔɨr
0	verb										1.0	KF		v3			абгъур	ábʁur	abʁur	INSIDE-shift		let in	впускать внутрь		χala aʁʷa zɨ!	хала агъва зы!	В дом пусти меня!	bath (child)	искупать (ребенка)		χɨnɨχ xije aʁura	хыных хьийе агъура	Ребенка искупали																					Назиле						ábʁur	oˤwʁura	owʁus	owʁa	omowubʁ ~ omobʁ	HPL+APL			
1	verb										1.0	KF	"зы некье кергыр -- пример на кергыр? это значит ""я проспала""??"	v2			абгыр	ábgɨr	abgɨr	INSIDE-stay		remain	остаться		izdɨ zer ara abgɨr, ʁeǯʷigɨr	изды зер ара абгыр, гъеджвигыр	Моя корова в сарае осталась, не выгоняла																											Назиле						ábgɨr	owɨlgara	abgas	abga	amawlɨg	NO			
0	noun										1.0	KF		n1	3	abɨrdid	абыр	ábɨr	abɨr	behavior		behavior, respect	воспитание, уважение, совесть, порядочность		hanowɨχda abɨr ani wiʔi	гьановыхда абыр ани виъи	У него есть порядочность																			KF	6.0	8	2023.0					Назиле	f													
2	verb										1.0	KF		v9			авалкӀыр	awálkʼɨr	awalkʼɨr	PV-be_lame		be lame	хромать		zer pisana luwkur, awalkasɨ	зер писана лувкур, авалкасы	Корова сильно упала, наверное будет хромать																											Назиле						awálkʼɨr	awálkʼara	awalkʼas	awalkʼa	amawlɨkʼ	NO			
1	noun										1.0	KF	тут аппроксимант	n2	4	awnád	аван	awán	awan	rope		rope, cord	верёвка		zad zer sipʼtʼɨra awnakʷan	зад зер сипӀтӀыра авнакван	Я привязал корову верёвкой																			KF	6.0	8	2023.0					Назиле	f		687											
2	noun										1.0	KF		n3	1	awárad	авар	awár	awar	avar		avar	аварец		zɨ rɨxɨraj mihmanwɐle awaraχda	зы рыхьырай мигьманва̂ле аварахда	Я пришла в гости к аварцу																			KF	6.0	8	2023.0					Назиле	f													
3	verb										1.0	KF		v10			авыр	áwɨr	awɨr	INSIDE-do		pour (liquid)	наливать		čej heleki amaʔ ilesdɨ mɨqʼa hɨkɨsɨ	чей гьелеки амаъ илесды мыкьа гьыкысы	Чай пока не наливай, а то еда остынет																											Назиле						áwɨr	áwara	awas	awa ~ awaʔ ~ owʔa	amawaʔ	*			
5	complex verb	wišír	v202	become	aʁmiš		aʁmiš				1.0	TM		cv14			агъмиш вишир		aʁmiš wišir	aʁmiš become		come back to memory	вспоминаться	abs	eχtileta arana had edemi aʁmiš hišir	ехтилета арана гьад едеми агъмиш гьишир	В разговоре вспомнился этот человек																			TM	7.0	8	2023.0					Nurula														aʁmíš wišir
